=== Arduino ===
rb-rpi-s02,Raspberry Pi 5 (8GB),7999,"RPi 5 with 8GB RAM. Best for AI/ML workloads, media servers, and desktop use.",buy,yes,electronics,raspberry-pi,rpi-sbc
rb-rpi-s03,Raspberry Pi 4 Model B (4GB),4499,"Quad-core Cortex-A72 at 1.8GHz with 4GB RAM. Dual 4K HDMI, USB 3.0, Gigabit Ethernet.",buy,yes,electronics,raspberry-pi,rpi-sbc
rb-rpi-s04,Raspberry Pi 4 Model B (2GB),3299,"RPi 4 with 2GB RAM. Great for most projects, servers, and desktop usage.",buy,yes,electronics,raspberry-pi,rpi-sbc
rb-rpi-s05,Raspberry Pi Zero 2 W,1299,"Tiny RPi with quad-core Cortex-A53 at 1GHz, 512MB RAM, Wi-Fi, Bluetooth.",buy,yes,electronics,raspberry-pi,rpi-sbc
rb-rpi-s06,Raspberry Pi Zero W,799,"Ultra-compact RPi with single-core 1GHz, 512MB RAM, Wi-Fi, and Bluetooth.",buy,yes,electronics,raspberry-pi,rpi-sbc
rb-rpi-s07,Raspberry Pi Pico W,349,"RP2040 microcontroller board with Wi-Fi. 264KB RAM, 2MB Flash, 26 GPIO.",buy,yes,electronics,raspberry-pi,rpi-sbc
rb-rpi-s08,Raspberry Pi Pico,199,"RP2040 chip with dual Cortex-M0+ at 133MHz. 26 GPIO, 3 ADC channels.",buy,yes,electronics,raspberry-pi,rpi-sbc
  HATs & Add-ons,,,,,,,,
rb-rpi-h01,RPi Camera Module 3,2499,"12MP Sony IMX708 autofocus camera. HDR support, 120° FoV wide version available.",buy,yes,electronics,raspberry-pi,rpi-hats
rb-rpi-h02,RPi Camera Module V2,1499,8MP Sony IMX219 fixed-focus camera for standard RPi CSI connector.,buy,yes,electronics,raspberry-pi,rpi-hats
rb-rpi-h03,Sense HAT,2999,"8x8 RGB LED matrix, joystick, temperature, humidity, pressure, IMU. Used on ISS.",buy,yes,electronics,raspberry-pi,rpi-hats
rb-rpi-h04,Motor Driver HAT,899,"Dual DC motor and stepper driver HAT for RPi. I2C control, up to 12V motors.",buy,yes,electronics,raspberry-pi,rpi-hats
rb-rpi-h05,GPS HAT NEO-6M,1599,u-blox NEO-6M GPS receiver HAT. PPS output for precise timing applications.,buy,yes,electronics,raspberry-pi,rpi-hats
rb-rpi-h06,PoE+ HAT,1799,"Power over Ethernet HAT for RPi 4/5. IEEE 802.3at PoE+ standard, active cooling.",buy,yes,electronics,raspberry-pi,rpi-hats
  Accessories,,,,,,,,
rb-rpi-a01,Official RPi 5 Case,799,Official white/red plastic case for Raspberry Pi 5 with active cooler.,buy,yes,electronics,raspberry-pi,rpi-accessories
rb-rpi-a02,Official RPi 4 Case,499,Official Raspberry Pi 4 plastic case. Available in red/white.,buy,yes,electronics,raspberry-pi,rpi-accessories
rb-rpi-a03,Official USB-C Power Supply 5V/3A,699,"Official RPi 4 power adapter, 5V 3A USB-C, white, multi-region plugs.",buy,yes,electronics,raspberry-pi,rpi-accessories
rb-rpi-a04,Micro SD Card 32GB Class 10,349,SanDisk 32GB Class 10 micro SD card. Pre-loaded with Raspberry Pi OS on request.,buy,yes,electronics,raspberry-pi,rpi-accessories
rb-rpi-a05,GPIO Ribbon Cable 40-Pin,149,40-pin ribbon cable to connect RPi GPIO to breadboard or expansion board.,buy,yes,electronics,raspberry-pi,rpi-accessories

=== Sensors ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Temperature & Humidity,,,,,,,,
rb-sns-t01,DHT11 Temperature & Humidity Sensor,99,"Basic digital temp/humidity sensor. ±2°C accuracy, 20–80% RH range. 1-wire protocol.",buy,yes,electronics,sensors,sensor-temp
rb-sns-t02,DHT22 Temperature & Humidity Sensor,249,"Improved DHT11 with ±0.5°C accuracy, -40 to +80°C range, 0–100% RH.",buy,yes,electronics,sensors,sensor-temp
rb-sns-t03,DS18B20 Waterproof Temperature Probe,199,"Stainless-steel waterproof 1-wire temperature probe. -55 to +125°C, ±0.5°C.",buy,yes,electronics,sensors,sensor-temp
rb-sns-t04,BME280 Temp/Humidity/Pressure Module,349,"Bosch BME280 on I2C/SPI breakout. Temp, humidity, and barometric pressure.",buy,yes,electronics,sensors,sensor-temp
rb-sns-t05,LM35 Temperature Sensor,79,"Analog temperature sensor, 10mV/°C linear output. 0–100°C range.",buy,yes,electronics,sensors,sensor-temp
rb-sns-t06,MLX90614 IR Temperature Sensor,699,"Non-contact IR thermometer module. -70 to +380°C, I2C interface.",buy,yes,electronics,sensors,sensor-temp
  Motion & Distance,,,,,,,,
rb-sns-m01,HC-SR04 Ultrasonic Distance Sensor,99,"Ultrasonic ranging module, 2cm–400cm, 3mm accuracy. 5V trigger/echo.",buy,yes,electronics,sensors,sensor-motion
rb-sns-m02,PIR Motion Sensor HC-SR501,129,"Passive infrared motion detector. 3–7m range, adjustable sensitivity and delay.",buy,yes,electronics,sensors,sensor-motion
rb-sns-m03,MPU-6050 6-Axis IMU,199,"3-axis gyroscope + 3-axis accelerometer on I2C. ±2/4/8/16g, ±250–2000°/s.",buy,yes,electronics,sensors,sensor-motion
rb-sns-m04,MPU-9250 9-Axis IMU,449,"9-DOF IMU with gyroscope, accelerometer, and magnetometer on SPI/I2C.",buy,yes,electronics,sensors,sensor-motion
rb-sns-m05,VL53L0X ToF Distance Sensor,349,"Time-of-flight ranging sensor up to 2m. I2C, works in ambient light.",buy,yes,electronics,sensors,sensor-motion
rb-sns-m06,ADXL345 3-Axis Accelerometer,199,"3-axis digital accelerometer, ±2/4/8/16g, I2C/SPI. Tap/free-fall detect.",buy,yes,electronics,sensors,sensor-motion
rb-sns-m07,Reed Switch Module,79,Magnetic reed switch with digital output. Use with magnets for door/window sensing.,buy,yes,electronics,sensors,sensor-motion
  Light & Colour,,,,,,,,
rb-sns-l01,LDR Photoresistor Module,49,Light-dependent resistor module with analog output. For basic light sensing.,buy,yes,electronics,sensors,sensor-light
rb-sns-l02,BH1750 Ambient Light Sensor,149,"Digital light intensity sensor (lux), I2C. 1–65535 lux range.",buy,yes,electronics,sensors,sensor-light
rb-sns-l03,TCS34725 RGB Colour Sensor,349,"RGB and clear light sensing with IR filter. I2C, programmable gain and timing.",buy,yes,electronics,sensors,sensor-light
rb-sns-l04,APDS-9960 Gesture Colour Proximity,449,"Combined gesture, proximity, colour, and ambient light sensor on I2C.",buy,yes,electronics,sensors,sensor-light
rb-sns-l05,IR Obstacle Avoidance Sensor,89,Infrared proximity sensor with digital output. Adjustable 2–30cm range.,buy,yes,electronics,sensors,sensor-light
  Gas & Environmental,,,,,,,,
rb-sns-g01,MQ-2 Smoke Gas Sensor,149,"Detects LPG, propane, hydrogen, smoke. Analog output, 5V. For gas alarms.",buy,yes,electronics,sensors,sensor-gas
rb-sns-g02,MQ-135 Air Quality Sensor,149,"Detects NH3, NOx, alcohol, benzene, CO2. Analog output. For air quality monitors.",buy,yes,electronics,sensors,sensor-gas
rb-sns-g03,MQ-7 Carbon Monoxide Sensor,199,Highly sensitive CO sensor. 20–2000ppm range. Analog output with heater control.,buy,yes,electronics,sensors,sensor-gas
rb-sns-g04,CCS811 CO2 & TVOC Sensor,699,"Digital eCO2 and TVOC sensor, I2C. 400–8192ppm CO2, indoor air quality.",buy,yes,electronics,sensors,sensor-gas
rb-sns-g05,Rain/Water Drop Sensor,99,Conductive rain detection sensor with analog and digital output. 5V.,buy,yes,electronics,sensors,sensor-gas
rb-sns-g06,Soil Moisture Sensor,99,Resistive soil moisture probe with analog output. For plant watering automation.,buy,yes,electronics,sensors,sensor-gas

=== Motors ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  DC Motors,,,,,,,,
rb-mtr-d01,DC Geared Motor 6V 60RPM,249,"Metal gear DC motor, 6V, 60RPM, high torque. For robot arms and heavy-load robots.",buy,yes,electronics,motors,motor-dc
rb-mtr-d02,DC Geared Motor 6V 120RPM,249,6V 120RPM gear motor. Good balance of speed and torque for wheeled robots.,buy,yes,electronics,motors,motor-dc
rb-mtr-d03,DC Geared Motor 12V 200RPM,399,12V 200RPM high-speed gear motor for robotics carts and conveyor projects.,buy,yes,electronics,motors,motor-dc
rb-mtr-d04,BO Motor (Battery Operated) 3V 150RPM,129,Lightweight BO motor ideal for mini line-follower and sumo robots.,buy,yes,electronics,motors,motor-dc
rb-mtr-d05,N20 Micro Metal Gear Motor 6V 100RPM,349,"Tiny N20 micro metal gear motor, 6V, 100RPM. For compact robot platforms.",buy,yes,electronics,motors,motor-dc
  Servo Motors,,,,,,,,
rb-mtr-s01,SG90 Micro Servo 9g,149,"9g micro servo, 180° rotation, 1.8kg·cm torque. Ideal for small arms and fins.",buy,yes,electronics,motors,motor-servo
rb-mtr-s02,MG996R Metal Gear Servo,349,"Metal gear servo, 180°, 9.4–11kg·cm torque. For robotic arms and steering.",buy,yes,electronics,motors,motor-servo
rb-mtr-s03,MG90S Metal Gear Micro Servo,199,"Metal gear mini servo, 180°, 2.2kg·cm. Stronger than SG90 in same size.",buy,yes,electronics,motors,motor-servo
rb-mtr-s04,DS3218 270° Digital Servo,799,"High-torque digital servo, 270° rotation, 20kg·cm. For industrial-grade arms.",buy,yes,electronics,motors,motor-servo
rb-mtr-s05,360° Continuous Rotation Servo,249,Continuous rotation servo with speed and direction control via PWM.,buy,yes,electronics,motors,motor-servo
  Stepper Motors,,,,,,,,
rb-mtr-st01,28BYJ-48 Stepper Motor + ULN2003 Driver,199,"5V unipolar stepper with driver board. 512 steps/rev, 1:64 reduction for precision.",buy,yes,electronics,motors,motor-stepper
rb-mtr-st02,NEMA 17 Stepper Motor 40Ncm,699,"NEMA 17 bipolar stepper, 1.8° per step, 40Ncm torque. Standard for 3D printers.",buy,yes,electronics,motors,motor-stepper
rb-mtr-st03,NEMA 17 Stepper Motor 59Ncm,899,"High-torque NEMA 17, 59Ncm. For CNC machines and heavier 3D printer axes.",buy,yes,electronics,motors,motor-stepper
rb-mtr-st04,NEMA 23 Stepper Motor 130Ncm,1899,"NEMA 23 bipolar stepper, 1.8°/step, 130Ncm. For CNC mills and lathes.",buy,yes,electronics,motors,motor-stepper
  Motor Drivers,,,,,,,,
rb-mtr-dr01,L298N Dual H-Bridge Motor Driver,149,"Classic L298N driver module. 2 DC motors or 1 stepper, up to 2A per channel, 7–46V.",buy,yes,electronics,motors,motor-driver
rb-mtr-dr02,L293D Motor Driver IC,79,"Quad half-H-bridge IC, 600mA per channel, 4.5–36V. DIP-16 package for breadboard.",buy,yes,electronics,motors,motor-driver
rb-mtr-dr03,A4988 Stepper Motor Driver,149,"A4988 microstepping driver up to 1/16 step. 35V, 2A. Standard for 3D printers.",buy,yes,electronics,motors,motor-driver
rb-mtr-dr04,DRV8825 Stepper Motor Driver,199,"Up to 1/32 microstepping, 45V, 2.5A. Quieter than A4988, ideal for CNC.",buy,yes,electronics,motors,motor-driver
rb-mtr-dr05,TB6612FNG Dual Motor Driver,199,"Dual H-bridge driver, 1.2A continuous per channel. Smaller and more efficient than L298N.",buy,yes,electronics,motors,motor-driver
rb-mtr-dr06,BTS7960 43A High-Power Motor Driver,499,"High-current half-bridge driver module, 43A peak. For heavy-duty DC motors.",buy,yes,electronics,motors,motor-driver

=== Components ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Resistors & Capacitors,,,,,,,,
rb-cmp-p01,Resistor Kit 600pcs (30 values),199,"600-piece resistor assortment, 1Ω–1MΩ, 1/4W 5% tolerance. Sorted in compartment box.",buy,yes,electronics,components,comp-passive
rb-cmp-p02,Capacitor Kit 300pcs (30 values),249,Electrolytic and ceramic capacitor assortment from 1pF to 1000µF.,buy,yes,electronics,components,comp-passive
rb-cmp-p03,LED Assortment Kit 100pcs (5 colours),99,"5mm LEDs: red, green, blue, yellow, white, 20 pcs each. Basic indicator LEDs.",buy,yes,electronics,components,comp-passive
rb-cmp-p04,Push Button Tactile Switch Pack (20pcs),79,6x6mm through-hole tactile switches. 4-pin. For Arduino shields and PCBs.,buy,yes,electronics,components,comp-passive
rb-cmp-p05,Potentiometer 10K Linear (5pcs),99,"10kΩ single-turn rotary potentiometer, B10K. 3-pin, panel or PCB mount.",buy,yes,electronics,components,comp-passive
rb-cmp-p06,"Zener Diode Kit (5V, 12V, 24V assorted)",149,Assorted zener diodes for voltage regulation and protection circuits.,buy,yes,electronics,components,comp-passive
  ICs & Modules,,,,,,,,
rb-cmp-i01,NE555 Timer IC,29,"Classic 555 timer in DIP-8. For oscillators, pulse generation, and timing circuits.",buy,yes,electronics,components,comp-ic
rb-cmp-i02,LM741 Op-Amp IC,39,"General-purpose single op-amp in DIP-8. Amplification, comparators, filters.",buy,yes,electronics,components,comp-ic
rb-cmp-i03,74HC595 Shift Register IC,49,8-bit serial-to-parallel shift register. Expand Arduino outputs using 3 pins.,buy,yes,electronics,components,comp-ic
rb-cmp-i04,PCF8574 I2C GPIO Expander,99,8-bit I/O expander for I2C bus. Add 8 GPIO pins via just two wires.,buy,yes,electronics,components,comp-ic
rb-cmp-i05,AMS1117 3.3V Voltage Regulator,39,"SOT-223 LDO regulator, 800mA, 3.3V output. Popular on ESP and RPi projects.",buy,yes,electronics,components,comp-ic
rb-cmp-i06,ESP-01 ESP8266 Wi-Fi Module,249,Tiny ESP8266 Wi-Fi module with 2 GPIO. Add Wi-Fi to any Arduino via serial.,buy,yes,electronics,components,comp-ic
rb-cmp-i07,HC-05 Bluetooth Module,349,Classic HC-05 Bluetooth 2.0 serial module. Master/slave mode via AT commands.,buy,yes,electronics,components,comp-ic
rb-cmp-i08,nRF24L01+ 2.4GHz RF Module,199,"2.4GHz SPI radio module, 100m+ range, 250kbps–2Mbps. Pair for wireless comm.",buy,yes,electronics,components,comp-ic
  Connectors & Wires,,,,,,,,
rb-cmp-c01,Jumper Wire Kit M-M/M-F/F-F (120pcs),149,"40pcs each male-male, male-female, female-female jumper wires, 20cm.",buy,yes,electronics,components,comp-connector
rb-cmp-c02,Breadboard 830 Tie Points,199,"Full-size solderless breadboard, 830 tie-points, with binding posts.",buy,yes,electronics,components,comp-connector
rb-cmp-c03,Mini Breadboard 400 Tie Points,99,Half-size 400 tie-point breadboard. Ideal for compact circuit prototyping.,buy,yes,electronics,components,comp-connector
rb-cmp-c04,USB-A to USB-B Cable 1m,99,Standard USB cable for Arduino Uno/Mega programming and power.,buy,yes,electronics,components,comp-connector
rb-cmp-c05,USB-A to Micro USB Cable 1m,79,"Micro USB cable for Arduino Nano, Pro Mini adapter, and RPi power.",buy,yes,electronics,components,comp-connector
rb-cmp-c06,Dupont Connector Kit with Crimping Tool,349,"Male/female Dupont housings, crimp pins, and crimping tool. Make custom cables.",buy,yes,electronics,components,comp-connector
rb-cmp-c07,XT60 Connector Pair (Male + Female),99,High-current XT60 connector pair rated 60A. Standard for LiPo battery packs.,buy,yes,electronics,components,comp-connector
rb-cmp-c08,18650 Battery Holder 2-Cell,79,2x18650 lithium cell battery holder with leads. 7.4V nominal output.,buy,yes,electronics,components,comp-connector

=== Tools ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Soldering,,,,,,,,
rb-tl-sl01,Soldering Iron 25W,399,Basic 25W pencil soldering iron. 400°C tip temperature. For PCB and wire work.,buy,yes,electronics,tools,tool-solder
rb-tl-sl02,Soldering Iron Station 60W,1499,Adjustable 60W soldering station with digital temperature control 200–480°C.,buy,yes,electronics,tools,tool-solder
rb-tl-sl03,Solder Wire 60/40 250g,299,"60/40 tin-lead solder, 0.8mm diameter, rosin flux core. 250g spool.",buy,yes,electronics,tools,tool-solder
rb-tl-sl04,Desoldering Pump / Solder Sucker,199,Spring-loaded desoldering pump for removing excess solder from PCB joints.,buy,yes,electronics,tools,tool-solder
rb-tl-sl05,Flux Paste 50g,149,Water-washable flux paste in a jar. Improves solder flow and reduces oxidation.,buy,yes,electronics,tools,tool-solder
rb-tl-sl06,PCB Helping Hands with Magnifier,399,Third-hand tool with alligator clips and 5x magnifying glass for PCB work.,buy,yes,electronics,tools,tool-solder
  Measuring,,,,,,,,
rb-tl-ms01,Digital Multimeter,799,"Auto-ranging digital multimeter, DC/AC voltage, current, resistance, continuity.",buy,yes,electronics,tools,tool-measure
rb-tl-ms02,USB Logic Analyser 8-Channel,1499,8-channel 24MHz USB logic analyser. Works with Sigrok/PulseView. I2C/SPI/UART decode.,buy,yes,electronics,tools,tool-measure
rb-tl-ms03,Oscilloscope DSO138 DIY Kit,1999,"DIY 200kHz digital oscilloscope kit with 2.4-inch LCD. Single-channel, 1Msps.",buy,yes,electronics,tools,tool-measure
rb-tl-ms04,LCR Meter Component Tester,999,"Auto-detect transistors, resistors, capacitors, inductors, diodes on a graphic LCD.",buy,yes,electronics,tools,tool-measure
rb-tl-ms05,Bench Power Supply 30V 5A,3499,"Variable bench PSU, 0–30V 0–5A, dual display, over-current protection.",buy,yes,electronics,tools,tool-measure
  Hand Tools,,,,,,,,
rb-tl-ht01,Precision Screwdriver Set 25pcs,499,"25-piece magnetic screwdriver set with Phillips, flat, Torx, hex bits.",buy,yes,electronics,tools,tool-hand
rb-tl-ht02,Wire Stripper & Cutter,299,Adjustable wire stripper for 10–24 AWG wire with built-in cutter.,buy,yes,electronics,tools,tool-hand
rb-tl-ht03,Needle-Nose Pliers,199,Long-nose ESD-safe pliers for bending component leads and handling SMD parts.,buy,yes,electronics,tools,tool-hand
rb-tl-ht04,Diagonal Flush Cutters,149,Micro flush cutter for clean component lead trimming after soldering.,buy,yes,electronics,tools,tool-hand
rb-tl-ht05,Anti-Static ESD Wrist Strap,99,ESD wrist strap with 1MΩ resistor and alligator clip for static-safe PCB work.,buy,yes,electronics,tools,tool-hand
rb-tl-ht06,Hot Glue Gun 20W with Sticks,299,Low-temperature mini glue gun with 10 glue sticks. For enclosure and wire tack.,buy,yes,electronics,tools,tool-hand

=== Drones ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Frames,,,,,,,,
rb-drn-f01,F450 Quadcopter Frame 450mm,799,Classic F450 glass-fibre quad frame with PCB bottom plate for power distribution.,buy,yes,drone,drone,drone-frame
rb-drn-f02,Q250 Racing Frame 250mm,999,"Compact 250mm carbon-fibre FPV racing frame. Low profile, strong arm design.",buy,yes,drone,drone,drone-frame
rb-drn-f03,S500 Hexacopter Frame 500mm,1499,"S500 glass-fibre hexacopter frame, retractable landing gear, PCB power plate.",buy,yes,drone,drone,drone-frame
rb-drn-f04,X500 V2 Quadcopter Frame 500mm,2499,All-carbon X500 V2 frame compatible with Holybro Pixhawk stacks.,buy,yes,drone,drone,drone-frame
  Complete Drones,,,,,,,,
rb-drn-c01,Survey Mapping Drone S1000,85000,"Fixed-wing VTOL mapping drone. 60-min flight time, RTK GPS, 1km range.",buy,yes,drone,drone,drone-complete
rb-drn-c02,FPV Racing Drone 5-Inch,18000,"Ready-to-fly 5-inch FPV racer with F7 FC, 45A ESC, and digital FPV system.",buy,yes,drone,drone,drone-complete
rb-drn-c03,Agricultural Spray Drone 10L,250000,10L tank hexacopter for precision crop spraying. 15-min per 10 acres coverage.,buy,yes,drone,drone,drone-complete
  Parts & Components,,,,,,,,
rb-drn-p01,A2212 1000KV Brushless Motor,599,"2212 1000KV brushless outrunner for 450-class quads. 250W, fits 10-inch props.",buy,yes,drone,drone,drone-parts
rb-drn-p02,A2212 2200KV Brushless Motor,599,2212 2200KV brushless motor for 250mm racers and 330-class quads.,buy,yes,drone,drone,drone-parts
rb-drn-p03,30A Brushless ESC,399,"30A UBEC ESC with BEC output, compatible with most 2-4S LiPo packs.",buy,yes,drone,drone,drone-parts
rb-drn-p04,FlySky FS-i6X 10CH Transmitter + Receiver,3499,10-channel 2.4GHz digital transmitter with FS-iA10B receiver for RC aircraft.,buy,yes,drone,drone,drone-parts
rb-drn-p05,Flight Controller F405 Wing,2999,"F405-based FC with OSD, barometer, and BEC. For fixed-wing and quad builds.",buy,yes,drone,drone,drone-parts
rb-drn-p06,LiPo Battery 3S 2200mAh 25C,1299,3S 11.1V 2200mAh 25C LiPo. Standard battery for 450-class quadcopters.,buy,yes,drone,drone,drone-parts
rb-drn-p07,LiPo Battery 4S 1500mAh 50C,1499,4S 14.8V 1500mAh 50C LiPo. For 5-inch FPV racing drones.,buy,yes,drone,drone,drone-parts
rb-drn-p08,1045 Propeller Set (2CW + 2CCW),199,10-inch 4.5-pitch carbon propellers for 450-class frames. One set of 4.,buy,yes,drone,drone,drone-parts
rb-drn-p09,5045 Tri-Blade FPV Propeller Set,249,5-inch 3-blade FPV racing propellers. One set of 4 (2CW + 2CCW).,buy,yes,drone,drone,drone-parts
rb-drn-p10,GPS Module M8N with Compass,1499,u-blox M8N GPS + HMC5883L compass on a pole mount for ArduPilot/PX4.,buy,yes,drone,drone,drone-parts

=== 3D Printing ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Printers,,,,,,,,
rb-3dp-pr01,Creality Ender 3 V3 SE,14999,"Entry-level FDM printer. Auto bed levelling, 250mm/s print speed, 220x220x250mm.",buy,yes,3dprint,3dprint,printer
